Year,US Dollar,Pound Sterling,Euro,Yen,"Canadian Dollar
",Brazillian Real,Special Drawing Rights (SDR)
2000-01,45.68,67.55,41.48,0.41,30.38,24.15,59.55
2001-02,47.69,68.32,42.18,0.38,30.47,19.55,60.22
2002-03,48.4,74.82,48.09,0.4,31.25,15.49,64.13
2003-04,45.95,77.74,53.99,0.41,33.99,15.71,65.69
2004-05,44.93,82.86,56.55,0.42,35.21,15.71,66.93
2005-06,44.27,79.05,53.91,0.39,37.14,19.17,64.49
2006-07,45.25,85.64,58.05,0.39,39.77,21.04,67.25
2007-08,40.26,80.84,57.06,0.35,39.04,21.76,62.65
2008-09,45.99,78.32,65.06,0.46,40.88,23.57,71.28
2009-10,47.44,75.78,67.05,0.51,43.57,25.46,73.73
2010-11,45.56,70.88,60.23,0.53,44.84,26.38,69.72
2011-12,47.92,76.39,65.89,0.61,48.22,28.22,75.31
2012-13,54.41,85.97,70.07,0.66,54.35,27.09,83.03
2013-14,60.5,96.31,81.17,0.6,57.44,26.91,92.26
2014-15,61.14,98.57,77.52,0.56,53.78,24.84,90.8
2015-16,65.47,98.73,72.29,0.55,49.95,18.38,91.35
